"x","y","z"
4.6344,-1.0354,0
4.7229,-1.0613,0
4.8113,-1.0872,0
4.8998,-1.1131,0
4.9883,-1.139,0
5.0768,-1.165,0
5.1654,-1.191,0
5.254,-1.2171,0
5.3429,-1.2434,0
0.89983,0.057256,0
0.98695,0.02526,0
1.0741,-0.0066862,0
1.1612,-0.038634,0
1.2483,-0.070583,0
1.3354,-0.10253,0
1.4225,-0.13448,0
1.5097,-0.16644,0
1.5968,-0.19839,0
1.6839,-0.23035,0
1.771,-0.26231,0
1.8581,-0.29426,0
1.9452,-0.32623,0
2.0323,-0.35819,0
2.1194,-0.39016,0
2.2064,-0.42212,0
2.2935,-0.45409,0
2.3806,-0.48606,0
2.4677,-0.51804,0
2.5548,-0.55002,0
2.6419,-0.582,0
2.7289,-0.61398,0
2.816,-0.64597,0
2.9031,-0.67796,0
2.9902,-0.70995,0
3.0772,-0.74195,0
3.1643,-0.77395,0
3.2514,-0.80596,0
3.3384,-0.83797,0
3.4255,-0.86998,0
3.5126,-0.902,0
3.5996,-0.93402,0
3.6867,-0.96606,0
3.7738,-0.99809,0
3.8608,-1.0301,0
3.9479,-1.0622,0
4.035,-1.0942,0
4.1221,-1.1263,0
4.2092,-1.1584,0
4.2962,-1.1905,0
4.3833,-1.2226,0
4.4704,-1.2547,0
4.5575,-1.2868,0
4.6447,-1.319,0
4.7318,-1.3511,0
4.8189,-1.3833,0
4.9061,-1.4155,0
4.9933,-1.4478,0
5.0805,-1.4801,0
5.1678,-1.5124,0
5.2553,-1.5451,0
0.8783,0.069436,0
0.96372,0.031284,0
1.0492,-0.0068186,0
1.1346,-0.044922,0
1.22,-0.083027,0
1.3054,-0.12113,0
1.3909,-0.15924,0
1.4763,-0.19735,0
1.5617,-0.23546,0
1.6471,-0.27357,0
1.7325,-0.31168,0
1.8179,-0.3498,0
1.9033,-0.38791,0
1.9887,-0.42603,0
2.0741,-0.46415,0
2.1595,-0.50227,0
2.2449,-0.54039,0
2.3303,-0.57852,0
2.4157,-0.61665,0
2.5011,-0.65478,0
2.5865,-0.69291,0
2.6719,-0.73105,0
2.7572,-0.76919,0
2.8426,-0.80733,0
2.928,-0.84547,0
3.0134,-0.88362,0
3.0988,-0.92178,0
3.1841,-0.95993,0
3.2695,-0.9981,0
3.3549,-1.0363,0
3.4402,-1.0744,0
3.5256,-1.1126,0
3.611,-1.1508,0
3.6964,-1.189,0
3.7817,-1.2272,0
3.8671,-1.2654,0
3.9525,-1.3036,0
4.0379,-1.3418,0
4.1233,-1.38,0
4.2086,-1.4183,0
4.294,-1.4565,0
4.3794,-1.4948,0
4.4648,-1.5331,0
4.5502,-1.5714,0
4.6357,-1.6097,0
4.7211,-1.648,0
4.8066,-1.6864,0
4.892,-1.7248,0
4.9775,-1.7633,0
5.0631,-1.8018,0
5.1489,-1.8406,0
0.85641,0.081707,0
0.93978,0.037543,0
1.0232,-0.0065734,0
1.1065,-0.05069,0
1.1899,-0.094808,0
1.2733,-0.13893,0
1.3567,-0.18305,0
1.44,-0.22717,0
1.5234,-0.27129,0
1.6068,-0.31541,0
1.6901,-0.35954,0
1.7735,-0.40366,0
1.8568,-0.44779,0
1.9402,-0.49192,0
2.0235,-0.53605,0
2.1069,-0.58018,0
2.1902,-0.62431,0
2.2736,-0.66845,0
2.3569,-0.71259,0
2.4402,-0.75673,0
2.5236,-0.80087,0
2.6069,-0.84502,0
2.6902,-0.88916,0
2.7735,-0.93332,0
2.8569,-0.97747,0
2.9402,-1.0216,0
3.0235,-1.0658,0
3.1068,-1.11,0
3.1901,-1.1541,0
3.2735,-1.1983,0
3.3568,-1.2425,0
3.4401,-1.2867,0
3.5234,-1.3309,0
3.6067,-1.3751,0
3.69,-1.4193,0
3.7734,-1.4635,0
3.8567,-1.5077,0
3.94,-1.5519,0
4.0233,-1.5962,0
4.1067,-1.6404,0
4.19,-1.6847,0
4.2733,-1.7289,0
4.3567,-1.7732,0
4.44,-1.8175,0
4.5234,-1.8619,0
4.6067,-1.9062,0
4.6901,-1.9506,0
4.7735,-1.995,0
4.857,-2.0395,0
4.9405,-2.084,0
5.0241,-2.1289,0
0.83421,0.094034,0
0.91518,0.044024,0
0.99616,-0.0059388,0
1.0771,-0.055903,0
1.1581,-0.10587,0
1.2391,-0.15583,0
1.3201,-0.2058,0
1.401,-0.25576,0
1.482,-0.30573,0
1.5629,-0.3557,0
1.6439,-0.40567,0
1.7249,-0.45564,0
1.8058,-0.50561,0
1.8867,-0.55558,0
1.9677,-0.60556,0
2.0486,-0.65553,0
2.1296,-0.70551,0
2.2105,-0.75549,0
2.2914,-0.80547,0
2.3724,-0.85545,0
2.4533,-0.90544,0
2.5342,-0.95543,0
2.6151,-1.0054,0
2.6961,-1.0554,0
2.777,-1.1054,0
2.8579,-1.1554,0
2.9388,-1.2054,0
3.0197,-1.2554,0
3.1006,-1.3054,0
3.1816,-1.3555,0
3.2625,-1.4055,0
3.3434,-1.4555,0
3.4243,-1.5055,0
3.5052,-1.5556,0
3.5861,-1.6056,0
3.667,-1.6557,0
3.7479,-1.7057,0
3.8288,-1.7558,0
3.9098,-1.8059,0
3.9907,-1.856,0
4.0716,-1.9061,0
4.1525,-1.9562,0
4.2335,-2.0063,0
4.3144,-2.0565,0
4.3953,-2.1066,0
4.4763,-2.1568,0
4.5572,-2.2071,0
4.6382,-2.2573,0
4.7192,-2.3076,0
4.8003,-2.358,0
4.8815,-2.4088,0
0.81175,0.10638,0
0.88997,0.050718,0
0.96821,-0.0049028,0
1.0464,-0.060524,0
1.1247,-0.11615,0
1.2029,-0.17177,0
1.2811,-0.22739,0
1.3594,-0.28301,0
1.4376,-0.33863,0
1.5158,-0.39426,0
1.594,-0.44988,0
1.6722,-0.50551,0
1.7504,-0.56114,0
1.8286,-0.61676,0
1.9068,-0.67239,0
1.985,-0.72802,0
